task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
251	6f/73eb65	1593159	nifti_converter (12)	COMPLETED	0	2025-10-26 22:23:33.406	2s	1.4s	99.3%	73.5 MB	112 MB	7.7 MB	80 MB
252	7c/977a4f	1593683	roi_creator (12)	COMPLETED	0	2025-10-26 22:23:36.376	2m 46s	2m 46s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
16	ed/a7161c	876606	fastsurfer (16)	COMPLETED	0	2025-10-26 21:23:59.543	1h 6m 34s	1h 6m 34s	1063.7%	13 GB	525.7 GB	3.6 GB	408.5 MB
253	5b/54ecc1	1692257	nifti_converter (13)	COMPLETED	0	2025-10-26 22:30:33.875	1.5s	874ms	99.5%	12 MB	62.4 MB	7.6 MB	80 MB
254	9b/ce6e43	1693139	roi_creator (13)	COMPLETED	0	2025-10-26 22:30:36.352	2m 6s	2m 5s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
26	c3/a16c72	1032479	fastsurfer (26)	COMPLETED	0	2025-10-26 21:33:00.050	1h 5m 2s	1h 5m 1s	1112.4%	12.7 GB	525.4 GB	3.6 GB	406.2 MB
255	20/8e8717	1803981	nifti_converter (14)	COMPLETED	0	2025-10-26 22:38:02.957	1.5s	939ms	100.7%	13.5 MB	62.4 MB	7.8 MB	80 MB
256	3e/ae3b46	1805101	roi_creator (14)	COMPLETED	0	2025-10-26 22:38:05.500	2m 13s	2m 13s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
46	c6/81a64e	821437	fastsurfer (46)	COMPLETED	0	2025-10-26 21:22:56.867	1h 25m 18s	1h 25m 17s	1158.4%	13 GB	525.7 GB	3.9 GB	463.5 MB
257	5d/7bf48b	1937291	nifti_converter (15)	COMPLETED	0	2025-10-26 22:48:14.792	1.6s	1.1s	99.5%	10.5 MB	62.4 MB	7.7 MB	80 MB
33	1c/a8853d	1183875	fastsurfer (33)	COMPLETED	0	2025-10-26 21:46:01.618	1h 2m 26s	1h 2m 26s	845.5%	12.6 GB	525.4 GB	3.6 GB	418.7 MB
259	20/09a627	1940476	nifti_converter (16)	COMPLETED	0	2025-10-26 22:48:27.893	1.7s	1.2s	99.5%	73.5 MB	112 MB	7.2 MB	80 MB
258	4f/fda7c3	1938645	roi_creator (15)	COMPLETED	0	2025-10-26 22:48:17.440	2m 36s	2m 36s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
260	de/bbe9c7	1941594	roi_creator (16)	COMPLETED	0	2025-10-26 22:48:30.625	2m 40s	2m 39s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
78	33/cc5fd4	1273121	fastsurfer (78)	COMPLETED	0	2025-10-26 21:51:28.656	1h 6m 7s	1h 6m 6s	901.6%	13 GB	525.8 GB	3.8 GB	446.1 MB
261	74/e53f93	2129491	nifti_converter (17)	COMPLETED	0	2025-10-26 22:57:36.571	1.6s	1s	100.5%	12 MB	62.4 MB	7.7 MB	80 MB
262	46/0e2d82	2130173	roi_creator (17)	COMPLETED	0	2025-10-26 22:57:39.183	2m 17s	2m 16s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
96	91/f189af	1592582	fastsurfer (96)	COMPLETED	0	2025-10-26 22:23:32.395	58m 44s	58m 43s	829.5%	12.7 GB	525.4 GB	3.7 GB	432.3 MB
263	f6/217c40	2336730	nifti_converter (18)	COMPLETED	0	2025-10-26 23:22:17.518	2s	1.4s	99.2%	73.5 MB	112 MB	7.7 MB	80 MB
264	a3/92cc87	2337589	roi_creator (18)	COMPLETED	0	2025-10-26 23:22:20.561	2m 54s	2m 53s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
18	43/e66866	1692254	fastsurfer (18)	COMPLETED	0	2025-10-26 22:30:33.869	58m	58m	850.8%	13 GB	525.7 GB	3.6 GB	410.7 MB
265	d3/9a9313	2426842	nifti_converter (19)	COMPLETED	0	2025-10-26 23:28:35.386	1.7s	1.1s	100.0%	73.5 MB	112 MB	8 MB	80 MB
266	68/385608	2427364	roi_creator (19)	COMPLETED	0	2025-10-26 23:28:38.095	2m 54s	2m 53s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
64	75/131c84	1803089	fastsurfer (64)	COMPLETED	0	2025-10-26 22:38:01.940	1h 3m 3s	1h 3m 3s	902.6%	13 GB	525.7 GB	3.8 GB	452.1 MB
267	9c/a2e8c8	2562562	nifti_converter (20)	COMPLETED	0	2025-10-26 23:41:05.074	1.8s	1.1s	100.5%	73.5 MB	112 MB	7.6 MB	80 MB
268	f1/4299ff	2564015	roi_creator (20)	COMPLETED	0	2025-10-26 23:41:07.836	2m 34s	2m 33s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
68	c0/962727	1940462	fastsurfer (68)	COMPLETED	0	2025-10-26 22:48:27.888	1h 6m 7s	1h 6m 7s	1260.6%	12.7 GB	525.5 GB	3.5 GB	401.1 MB
269	a1/c42208	2708170	nifti_converter (21)	COMPLETED	0	2025-10-26 23:54:35.123	1.5s	934ms	100.9%	9.8 MB	62.4 MB	7.4 MB	80 MB
270	5d/f52b87	2709567	roi_creator (21)	COMPLETED	0	2025-10-26 23:54:37.613	2m 33s	2m 32s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
30	27/2e9457	1937284	fastsurfer (30)	COMPLETED	0	2025-10-26 22:48:14.787	1h 12m 58s	1h 12m 57s	1163.5%	12.7 GB	525.4 GB	3.7 GB	430.7 MB
271	29/5adbee	2806465	nifti_converter (22)	COMPLETED	0	2025-10-27 00:01:13.464	1.5s	970ms	100.1%	12 MB	62.4 MB	7.5 MB	80 MB
272	49/bd272e	2807113	roi_creator (22)	COMPLETED	0	2025-10-27 00:01:16.012	2m 19s	2m 18s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
66	64/28eeb8	2128267	fastsurfer (66)	COMPLETED	0	2025-10-26 22:57:35.564	1h 10m 56s	1h 10m 55s	1134.4%	12.5 GB	525 GB	3.7 GB	423.5 MB
273	4c/93f0f6	2920910	nifti_converter (23)	COMPLETED	0	2025-10-27 00:08:32.227	1.7s	1.2s	100.7%	72.8 MB	112 MB	7.1 MB	80 MB
79	2b/92ff73	2336160	fastsurfer (79)	COMPLETED	0	2025-10-26 23:22:16.510	48m 12s	48m 11s	792.4%	13.1 GB	525.8 GB	3.5 GB	387.9 MB
275	5d/07f551	2989295	nifti_converter (24)	COMPLETED	0	2025-10-27 00:10:29.589	1.7s	1.1s	101.4%	73.5 MB	112 MB	7.6 MB	80 MB
50	1d/2e67ef	1426220	fastsurfer (50)	COMPLETED	0	2025-10-26 22:05:35.567	2h 5m 12s	2h 5m 12s	779.6%	13 GB	525.8 GB	3.7 GB	450.5 MB
277	4a/835dc6	2995001	nifti_converter (25)	COMPLETED	0	2025-10-27 00:10:47.921	2s	1.2s	100.2%	73.5 MB	112 MB	8 MB	80 MB
274	bc/9c6989	2921809	roi_creator (23)	COMPLETED	0	2025-10-27 00:08:34.973	2m 25s	2m 24s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
276	c1/4fab42	2990256	roi_creator (24)	COMPLETED	0	2025-10-27 00:10:32.321	2m 19s	2m 19s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
278	e2/2144d4	2996552	roi_creator (25)	COMPLETED	0	2025-10-27 00:10:50.886	2m 19s	2m 19s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
20	c0/a16192	2426239	fastsurfer (20)	COMPLETED	0	2025-10-26 23:28:34.378	59m 36s	59m 36s	842.5%	13 GB	525.7 GB	3.6 GB	416 MB
279	e3/64e593	3256388	nifti_converter (26)	COMPLETED	0	2025-10-27 00:28:11.708	1.5s	941ms	99.0%	12.8 MB	62.4 MB	7.5 MB	80 MB
280	da/b2bebc	3256830	roi_creator (26)	COMPLETED	0	2025-10-27 00:28:14.202	2m 31s	2m 30s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
17	fd/307f3f	2562559	fastsurfer (17)	COMPLETED	0	2025-10-26 23:41:05.068	1h 31s	1h 30s	821.6%	12.7 GB	525.5 GB	3.8 GB	438.9 MB
281	93/124c27	3394844	nifti_converter (27)	COMPLETED	0	2025-10-27 00:41:36.934	2s	1.5s	100.7%	72.8 MB	112 MB	7.4 MB	80 MB
282	5f/c45fac	3395871	roi_creator (27)	COMPLETED	0	2025-10-27 00:41:39.974	2m 53s	2m 52s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
15	51/42d1bd	2708163	fastsurfer (15)	COMPLETED	0	2025-10-26 23:54:35.116	52m 5s	52m 5s	802.9%	13 GB	525.7 GB	3.6 GB	408.3 MB
283	0c/a911b8	3479467	nifti_converter (28)	COMPLETED	0	2025-10-27 00:46:41.248	2s	1.4s	99.8%	72.8 MB	112 MB	7.5 MB	80 MB
284	0c/a3d5d1	3480268	roi_creator (28)	COMPLETED	0	2025-10-27 00:46:44.215	2m 54s	2m 54s	99.9%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
