task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
325	c9/9c2237	2069181	nifti_converter (49)	COMPLETED	0	2025-10-27 05:06:59.298	1.5s	863ms	102.5%	13.5 MB	62.4 MB	7.6 MB	80 MB
63	33/e79d84	1331010	fastsurfer (63)	COMPLETED	0	2025-10-27 03:39:51.510	1h 28m 49s	1h 28m 48s	1253.7%	12.5 GB	525 GB	3.7 GB	419.7 MB
327	6d/65f708	2142296	nifti_converter (50)	COMPLETED	0	2025-10-27 05:08:40.554	2s	1.3s	100.0%	73.5 MB	112 MB	7.7 MB	80 MB
326	da/992b06	2069721	roi_creator (49)	COMPLETED	0	2025-10-27 05:07:01.783	2m 18s	2m 18s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
328	92/792431	2144751	roi_creator (50)	COMPLETED	0	2025-10-27 05:08:43.524	2m 16s	2m 15s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
90	e9/df652b	1199510	fastsurfer (90)	COMPLETED	0	2025-10-27 03:29:39.641	1h 43m 58s	1h 43m 57s	987.1%	12.7 GB	525.4 GB	3.7 GB	420.5 MB
329	1f/bf674d	2258560	nifti_converter (51)	COMPLETED	0	2025-10-27 05:13:37.616	1.5s	901ms	99.7%	10.5 MB	62.4 MB	7.5 MB	80 MB
330	b5/56f5d0	2260202	roi_creator (51)	COMPLETED	0	2025-10-27 05:13:40.084	2m 18s	2m 18s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
1	a7/2f1a8a	1679381	fastsurfer (1)	COMPLETED	0	2025-10-27 04:39:25.457	58m 40s	58m 39s	766.0%	13.1 GB	525.8 GB	3.8 GB	439.6 MB
331	d0/9d799e	2496027	nifti_converter (52)	COMPLETED	0	2025-10-27 05:38:05.644	2s	1.4s	97.8%	73.5 MB	112 MB	7.6 MB	80 MB
332	f1/fda509	2497018	roi_creator (52)	COMPLETED	0	2025-10-27 05:38:08.675	2m 54s	2m 54s	99.8%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
53	6f/30797e	1839257	fastsurfer (53)	COMPLETED	0	2025-10-27 04:58:16.955	1h 1m 5s	1h 1m 4s	996.5%	12.5 GB	525 GB	3.6 GB	408.1 MB
333	e4/9e8f1d	2664695	nifti_converter (53)	COMPLETED	0	2025-10-27 05:59:22.884	2s	1.4s	99.0%	73.5 MB	112 MB	7.7 MB	80 MB
334	ce/db6e3b	2665499	roi_creator (53)	COMPLETED	0	2025-10-27 05:59:25.886	2m 54s	2m 54s	99.8%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
23	ce/b79cf9	1912291	fastsurfer (23)	COMPLETED	0	2025-10-27 05:01:28.883	1h 31m 40s	1h 31m 39s	1198.6%	13.1 GB	525.8 GB	3.4 GB	384.1 MB
335	19/f0f6f6	2898431	nifti_converter (54)	COMPLETED	0	2025-10-27 06:33:08.527	1.7s	1.2s	100.0%	73.5 MB	112 MB	7.3 MB	80 MB
336	64/2647ae	2899538	roi_creator (54)	COMPLETED	0	2025-10-27 06:33:11.282	2m 29s	2m 28s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
60	62/abfa83	2258547	fastsurfer (60)	COMPLETED	0	2025-10-27 05:13:37.603	1h 26m 51s	1h 26m 50s	1293.6%	12.9 GB	525.6 GB	3.6 GB	417.6 MB
337	f3/7e202e	2999438	nifti_converter (55)	COMPLETED	0	2025-10-27 06:40:29.253	1.4s	822ms	100.0%	15 MB	62.4 MB	7.6 MB	80 MB
338	b5/2e9cc9	3000121	roi_creator (55)	COMPLETED	0	2025-10-27 06:40:31.706	2m 3s	2m 3s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
70	c3/2267d5	1989462	fastsurfer (70)	COMPLETED	0	2025-10-27 05:04:22.805	1h 43m 1s	1h 43m	1271.2%	12.7 GB	525.4 GB	3.5 GB	395.2 MB
339	b5/946ad7	3106397	nifti_converter (56)	COMPLETED	0	2025-10-27 06:47:24.846	1.5s	939ms	100.8%	12.8 MB	62.4 MB	7.1 MB	80 MB
25	cc/8a4787	2068120	fastsurfer (25)	COMPLETED	0	2025-10-27 05:06:58.287	1h 41m 13s	1h 41m 13s	963.1%	12.5 GB	525 GB	3.7 GB	432.4 MB
341	37/21caa0	3150179	nifti_converter (57)	COMPLETED	0	2025-10-27 06:48:11.570	1.5s	969ms	101.3%	10.5 MB	62.4 MB	7.4 MB	80 MB
340	e4/b111ee	3106973	roi_creator (56)	COMPLETED	0	2025-10-27 06:47:27.391	2m 9s	2m 8s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
42	7f/1e9d78	2496025	fastsurfer (42)	COMPLETED	0	2025-10-27 05:38:05.638	1h 12m 13s	1h 12m 12s	967.0%	13.1 GB	525.8 GB	3.4 GB	380.2 MB
342	96/d72020	3157566	roi_creator (57)	COMPLETED	0	2025-10-27 06:48:14.103	2m 5s	2m 5s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
343	54/bc1036	3239626	nifti_converter (58)	COMPLETED	0	2025-10-27 06:50:19.256	1.5s	813ms	101.5%	14.2 MB	62.4 MB	7.3 MB	80 MB
344	a8/e7d530	3241157	roi_creator (58)	COMPLETED	0	2025-10-27 06:50:21.719	2m 22s	2m 21s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
145	7a/7f8fb7	2142289	fastsurfer (145)	COMPLETED	0	2025-10-27 05:08:40.546	1h 48m 36s	1h 48m 36s	1056.2%	12.5 GB	525 GB	3.7 GB	433.7 MB
345	5f/394f56	3375238	nifti_converter (59)	COMPLETED	0	2025-10-27 06:57:17.860	1.6s	940ms	100.5%	12.8 MB	62.4 MB	7.4 MB	80 MB
346	8f/441b9e	3375677	roi_creator (59)	COMPLETED	0	2025-10-27 06:57:20.453	2m 30s	2m 29s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
82	ec/621d32	2664012	fastsurfer (82)	COMPLETED	0	2025-10-27 05:59:21.878	1h 10m 23s	1h 10m 22s	864.4%	13.1 GB	525.8 GB	3.7 GB	423.5 MB
347	8a/4d7438	3533324	nifti_converter (60)	COMPLETED	0	2025-10-27 07:09:45.711	1.8s	1.2s	100.2%	73.5 MB	112 MB	7.6 MB	80 MB
348	3d/0cdbdc	3533845	roi_creator (60)	COMPLETED	0	2025-10-27 07:09:48.495	2m 53s	2m 52s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
77	a7/12f3ca	2898421	fastsurfer (77)	COMPLETED	0	2025-10-27 06:33:08.520	46m 59s	46m 59s	767.9%	12.5 GB	525 GB	3.4 GB	378.6 MB
349	5b/030817	3660748	nifti_converter (61)	COMPLETED	0	2025-10-27 07:20:07.976	2s	1.4s	98.5%	73.5 MB	112 MB	7.5 MB	80 MB
350	06/4baf09	3662050	roi_creator (61)	COMPLETED	0	2025-10-27 07:20:10.986	2m 53s	2m 53s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.1 MB
87	2c/e6aa0f	2998840	fastsurfer (87)	COMPLETED	0	2025-10-27 06:40:28.244	1h 1m 44s	1h 1m 43s	876.2%	13 GB	525.7 GB	3.8 GB	446.3 MB
351	93/b505fc	3838756	nifti_converter (62)	COMPLETED	0	2025-10-27 07:42:12.361	2s	1.4s	99.0%	73.5 MB	112 MB	8 MB	80 MB
352	3f/b40159	3839786	roi_creator (62)	COMPLETED	0	2025-10-27 07:42:15.413	2m 53s	2m 52s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
92	f3/5b996e	3105772	fastsurfer (92)	COMPLETED	0	2025-10-27 06:47:23.839	1h 9m 29s	1h 9m 29s	1253.0%	12.5 GB	525 GB	3.4 GB	372.3 MB
353	9b/71a104	3979592	nifti_converter (63)	COMPLETED	0	2025-10-27 07:56:53.050	2s	1.4s	99.7%	72.8 MB	112 MB	6.8 MB	80 MB
354	c0/0d0050	3980696	roi_creator (63)	COMPLETED	0	2025-10-27 07:56:56.056	2m 55s	2m 54s	99.8%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
37	2f/5eef23	3150143	fastsurfer (37)	COMPLETED	0	2025-10-27 06:48:11.564	1h 59m 37s	1h 59m 36s	1119.3%	12.5 GB	525 GB	3.9 GB	453.8 MB
355	bc/d297f9	99317	nifti_converter (64)	COMPLETED	0	2025-10-27 08:47:49.534	1.5s	842ms	101.2%	14.2 MB	62.4 MB	7.4 MB	80 MB
62	8e/a8556d	3374082	fastsurfer (62)	COMPLETED	0	2025-10-27 06:57:16.851	1h 52m 26s	1h 52m 25s	1026.9%	12.7 GB	525.4 GB	3.8 GB	441.8 MB
357	0f/4be84c	162794	nifti_converter (65)	COMPLETED	0	2025-10-27 08:49:42.572	1.5s	876ms	101.5%	13.5 MB	62.4 MB	7.3 MB	80 MB
356	26/9304c3	99798	roi_creator (64)	COMPLETED	0	2025-10-27 08:47:52.023	2m 2s	2m 1s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
358	fd/8fdb5b	164753	roi_creator (65)	COMPLETED	0	2025-10-27 08:49:45.089	2m	1m 59s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
40	1e/313fc8	3239020	fastsurfer (40)	COMPLETED	0	2025-10-27 06:50:18.614	2h 2m 1s	2h 2m	1198.4%	12.5 GB	525 GB	3.8 GB	441.7 MB
359	ef/01fec3	234446	nifti_converter (66)	COMPLETED	0	2025-10-27 08:52:20.258	1.5s	912ms	100.2%	15 MB	62.4 MB	7.7 MB	80 MB
360	71/4de8e9	235261	roi_creator (66)	COMPLETED	0	2025-10-27 08:52:22.810	1m 57s	1m 57s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
24	b0/ef9040	3532564	fastsurfer (24)	COMPLETED	0	2025-10-27 07:09:44.704	1h 44m 58s	1h 44m 57s	1145.0%	13.1 GB	525.8 GB	3.7 GB	426.6 MB
361	05/190499	309337	nifti_converter (67)	COMPLETED	0	2025-10-27 08:54:42.721	1.5s	862ms	100.6%	13.5 MB	62.4 MB	7.1 MB	80 MB
362	ef/5efbc0	310447	roi_creator (67)	COMPLETED	0	2025-10-27 08:54:45.226	2m 4s	2m 4s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
43	1a/748d60	3660738	fastsurfer (43)	COMPLETED	0	2025-10-27 07:20:07.967	1h 40m 47s	1h 40m 47s	1237.0%	12.7 GB	525.4 GB	3.7 GB	430.5 MB
363	a0/dc380b	445891	nifti_converter (68)	COMPLETED	0	2025-10-27 09:00:55.440	1.7s	1s	100.3%	12.8 MB	62.4 MB	7.6 MB	80 MB
76	fd/e9da9f	3979586	fastsurfer (76)	COMPLETED	0	2025-10-27 07:56:53.045	1h 4m 8s	1h 4m 7s	1142.3%	12.9 GB	525.6 GB	3.6 GB	404 MB
365	81/b3afee	449087	nifti_converter (69)	COMPLETED	0	2025-10-27 09:01:01.716	1.4s	840ms	100.6%	13.5 MB	62.4 MB	7.5 MB	80 MB
14	d9/85e26e	3838750	fastsurfer (14)	COMPLETED	0	2025-10-27 07:42:12.356	1h 21m 9s	1h 21m 8s	1141.4%	13.1 GB	525.8 GB	3.6 GB	404.1 MB
367	1f/beb84a	582711	nifti_converter (70)	COMPLETED	0	2025-10-27 09:03:22.313	1.5s	870ms	100.7%	12.8 MB	62.4 MB	7.5 MB	80 MB
364	6a/739404	447079	roi_creator (68)	COMPLETED	0	2025-10-27 09:00:58.137	2m 28s	2m 27s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
366	3d/c22d19	449951	roi_creator (69)	COMPLETED	0	2025-10-27 09:01:04.172	2m 27s	2m 26s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
368	24/2f8c30	583569	roi_creator (70)	COMPLETED	0	2025-10-27 09:03:24.776	2m 12s	2m 11s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
81	c7/2f52b7	162788	fastsurfer (81)	COMPLETED	0	2025-10-27 08:49:42.564	50m 10s	50m 9s	972.1%	12.5 GB	525 GB	3.4 GB	378.5 MB
369	37/74fd3e	895467	nifti_converter (71)	COMPLETED	0	2025-10-27 09:39:53.558	2.1s	1.5s	99.2%	73.5 MB	112 MB	7.6 MB	80 MB
370	6e/d72b65	896434	roi_creator (71)	COMPLETED	0	2025-10-27 09:39:56.690	2m 54s	2m 53s	99.8%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
36	36/3bdadc	309332	fastsurfer (36)	COMPLETED	0	2025-10-27 08:54:42.715	1h 19m 56s	1h 19m 56s	1049.6%	12.7 GB	525.4 GB	3.5 GB	390.6 MB
371	15/88b37b	1122668	nifti_converter (72)	COMPLETED	0	2025-10-27 10:14:40.045	1.7s	1.1s	101.2%	73.5 MB	112 MB	7 MB	80 MB
372	82/1bf390	1123374	roi_creator (72)	COMPLETED	0	2025-10-27 10:14:42.758	2m 51s	2m 50s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
6	0e/84841f	98553	fastsurfer (6)	COMPLETED	0	2025-10-27 08:47:48.524	1h 37m 8s	1h 37m 7s	964.9%	13 GB	525.7 GB	3.9 GB	454.8 MB
373	9c/910b90	1238369	nifti_converter (73)	COMPLETED	0	2025-10-27 10:24:57.583	1.7s	1.2s	101.1%	73.5 MB	112 MB	7.6 MB	80 MB
374	cf/07adf1	1239226	roi_creator (73)	COMPLETED	0	2025-10-27 10:25:00.332	2m 54s	2m 53s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
75	9f/9ae9f0	233835	fastsurfer (75)	COMPLETED	0	2025-10-27 08:52:19.246	1h 40m 9s	1h 40m 8s	1137.9%	12.7 GB	525.5 GB	3.6 GB	416.8 MB
375	74/840e17	1340265	nifti_converter (74)	COMPLETED	0	2025-10-27 10:32:29.072	1.9s	1.3s	99.4%	73.5 MB	112 MB	7.4 MB	80 MB
376	17/31abfe	1341128	roi_creator (74)	COMPLETED	0	2025-10-27 10:32:32.004	2m 52s	2m 52s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
12	43/564f6b	448157	fastsurfer (12)	COMPLETED	0	2025-10-27 09:01:00.706	1h 44m 49s	1h 44m 48s	1122.9%	12.5 GB	525 GB	3.5 GB	389.3 MB
377	1e/72095d	1485184	nifti_converter (75)	COMPLETED	0	2025-10-27 10:45:50.569	2.1s	1.4s	98.9%	73.5 MB	112 MB	7.2 MB	80 MB
378	f0/36a688	1485817	roi_creator (75)	COMPLETED	0	2025-10-27 10:45:53.665	2m 57s	2m 56s	99.8%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
55	df/c63cee	894611	fastsurfer (55)	COMPLETED	0	2025-10-27 09:39:52.551	1h 23m 38s	1h 23m 37s	1324.5%	13 GB	525.8 GB	3.5 GB	391.5 MB
379	c6/8fa9d6	1657053	nifti_converter (76)	COMPLETED	0	2025-10-27 11:03:31.553	2.1s	1.5s	100.5%	73.5 MB	112 MB	7.3 MB	80 MB
380	cd/35a7ba	1657564	roi_creator (76)	COMPLETED	0	2025-10-27 11:03:34.679	2m 51s	2m 50s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
71	56/4bbb2c	582022	fastsurfer (71)	COMPLETED	0	2025-10-27 09:03:21.303	2h 5m 57s	2h 5m 57s	1293.9%	13 GB	525.7 GB	3.8 GB	438.4 MB
381	6e/f01c54	1748436	nifti_converter (77)	COMPLETED	0	2025-10-27 11:09:19.719	1.8s	1.3s	100.5%	73.5 MB	112 MB	7.7 MB	80 MB
382	d3/2bf767	1749260	roi_creator (77)	COMPLETED	0	2025-10-27 11:09:22.542	2m 37s	2m 36s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
48	d2/022fe3	445890	fastsurfer (48)	COMPLETED	0	2025-10-27 09:00:55.435	2h 11m 48s	2h 11m 47s	1375.1%	13 GB	525.8 GB	3.7 GB	428.1 MB
383	fe/450688	1830489	nifti_converter (78)	COMPLETED	0	2025-10-27 11:12:44.144	1.7s	1.1s	100.5%	73.5 MB	112 MB	7.6 MB	80 MB
384	b3/d405b8	1831191	roi_creator (78)	COMPLETED	0	2025-10-27 11:12:46.886	2m 30s	2m 29s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
7	48/30575b	1121935	fastsurfer (7)	COMPLETED	0	2025-10-27 10:14:39.039	1h 6m 43s	1h 6m 43s	980.5%	12.7 GB	525.4 GB	3.7 GB	433.9 MB
385	fd/1b8e9f	1962135	nifti_converter (79)	COMPLETED	0	2025-10-27 11:21:23.446	1.6s	972ms	100.7%	11.3 MB	62.4 MB	7.6 MB	80 MB
386	1e/978b44	1962787	roi_creator (79)	COMPLETED	0	2025-10-27 11:21:26.003	2m 22s	2m 22s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
28	21/29669b	1237794	fastsurfer (28)	COMPLETED	0	2025-10-27 10:24:56.577	1h 6m 43s	1h 6m 43s	1052.5%	12.5 GB	525 GB	3.5 GB	397.4 MB
387	82/3c70a9	2098094	nifti_converter (80)	COMPLETED	0	2025-10-27 11:31:41.054	1.6s	1.1s	100.1%	11.2 MB	62.4 MB	7.6 MB	80 MB
91	84/ad9cd9	1339661	fastsurfer (91)	COMPLETED	0	2025-10-27 10:32:28.065	59m 31s	59m 31s	1098.6%	12.5 GB	525 GB	3.6 GB	409.8 MB
389	fe/97f776	2102926	nifti_converter (81)	COMPLETED	0	2025-10-27 11:32:00.294	1.9s	1.4s	99.6%	72.8 MB	112 MB	7 MB	80 MB
69	8f/1e6c78	2097517	fastsurfer (69)	FAILED	1	2025-10-27 11:31:40.049	2m 33s	2m 32s	-	-	-	-	-
388	9c/72df1b	2098951	roi_creator (80)	COMPLETED	0	2025-10-27 11:31:43.666	2m 52s	2m 52s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
390	38/57b684	2103565	roi_creator (81)	COMPLETED	0	2025-10-27 11:32:03.247	2m 52s	2m 51s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
32	ae/6acf7f	1484561	fastsurfer (32)	COMPLETED	0	2025-10-27 10:45:49.562	1h 5m 2s	1h 5m 2s	783.1%	12.7 GB	525.4 GB	3.7 GB	431.6 MB
391	5b/8f86fe	2395703	nifti_converter (82)	COMPLETED	0	2025-10-27 11:50:52.915	1.9s	1.3s	100.6%	73.5 MB	112 MB	7.5 MB	80 MB
392	58/887faf	2396488	roi_creator (82)	COMPLETED	0	2025-10-27 11:50:55.796	2m 20s	2m 20s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
10	dc/2668be	1656452	fastsurfer (10)	COMPLETED	0	2025-10-27 11:03:30.545	56m 26s	56m 25s	834.8%	12.7 GB	525.4 GB	3.6 GB	412.8 MB
393	c7/1adb80	2513075	nifti_converter (83)	COMPLETED	0	2025-10-27 11:59:56.447	1.6s	1s	99.4%	11.3 MB	62.4 MB	7.4 MB	80 MB
394	2f/c467d9	2514379	roi_creator (83)	COMPLETED	0	2025-10-27 11:59:59.018	2m 28s	2m 27s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
21	bb/18bb11	1747863	fastsurfer (21)	COMPLETED	0	2025-10-27 11:09:18.713	58m 1s	58m	1014.6%	12.7 GB	525.4 GB	3.7 GB	419.2 MB
395	50/8fa197	2622054	nifti_converter (84)	COMPLETED	0	2025-10-27 12:07:20.578	1.5s	888ms	100.1%	11.3 MB	62.4 MB	7.7 MB	80 MB
93	e2/d082b6	1829888	fastsurfer (93)	COMPLETED	0	2025-10-27 11:12:43.137	56m 5s	56m 4s	952.8%	13 GB	525.8 GB	3.6 GB	410 MB
397	7d/48ed48	2683044	nifti_converter (85)	COMPLETED	0	2025-10-27 12:08:49.191	1.5s	930ms	100.4%	12 MB	62.4 MB	7.6 MB	80 MB
396	5a/4428b5	2622829	roi_creator (84)	COMPLETED	0	2025-10-27 12:07:23.050	2m 15s	2m 14s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
398	19/50535c	2684971	roi_creator (85)	COMPLETED	0	2025-10-27 12:08:51.702	2m 10s	2m 10s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
9	dc/d7fcea	2102199	fastsurfer (9)	COMPLETED	0	2025-10-27 11:31:59.288	45m 35s	45m 35s	809.6%	12.7 GB	525.4 GB	3.4 GB	380 MB
399	fa/fa2048	2824961	nifti_converter (86)	COMPLETED	0	2025-10-27 12:17:35.489	1.7s	1.2s	100.5%	73.5 MB	112 MB	7.1 MB	80 MB
56	2e/8aa718	1961535	fastsurfer (56)	COMPLETED	0	2025-10-27 11:21:22.439	56m 46s	56m 46s	857.6%	12.5 GB	525 GB	3.6 GB	415 MB
401	23/13423a	2839655	nifti_converter (87)	COMPLETED	0	2025-10-27 12:18:09.649	1.5s	945ms	101.6%	9.8 MB	62.4 MB	7.3 MB	80 MB
400	fd/e529cb	2825622	roi_creator (86)	COMPLETED	0	2025-10-27 12:17:38.199	2m 27s	2m 27s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
402	6c/d6abaf	2847481	roi_creator (87)	COMPLETED	0	2025-10-27 12:18:12.178	2m 34s	2m 33s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
44	21/4bde1a	2218595	fastsurfer (44)	COMPLETED	0	2025-10-27 11:34:12.597	1h 5m 5s	1h 5m 4s	783.9%	12.5 GB	525 GB	3.8 GB	439.5 MB
403	64/77f8f6	3095644	nifti_converter (88)	COMPLETED	0	2025-10-27 12:39:18.335	2s	1.4s	99.9%	73.5 MB	112 MB	7.5 MB	80 MB
404	78/135d74	3096294	roi_creator (88)	COMPLETED	0	2025-10-27 12:39:21.371	2m 58s	2m 57s	99.9%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
29	49/e0011b	2395104	fastsurfer (29)	COMPLETED	0	2025-10-27 11:50:51.910	55m 20s	55m 20s	846.2%	13 GB	525.7 GB	3.7 GB	434.5 MB
405	24/c364ae	3193891	nifti_converter (89)	COMPLETED	0	2025-10-27 12:46:13.088	2.1s	1.5s	99.7%	73.5 MB	112 MB	7.6 MB	80 MB
406	7b/477a4f	3194952	roi_creator (89)	COMPLETED	0	2025-10-27 12:46:16.200	2m 52s	2m 52s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
38	74/3ab885	2513065	fastsurfer (38)	COMPLETED	0	2025-10-27 11:59:56.440	1h 6m 49s	1h 6m 48s	964.2%	13 GB	525.7 GB	3.8 GB	447.1 MB
407	4b/5ee603	3371601	nifti_converter (90)	COMPLETED	0	2025-10-27 13:06:46.399	2s	1.4s	98.6%	73.5 MB	112 MB	7.4 MB	80 MB
408	e4/acf091	3372769	roi_creator (90)	COMPLETED	0	2025-10-27 13:06:49.414	2m 54s	2m 54s	99.9%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
88	98/f1e6e3	2621448	fastsurfer (88)	COMPLETED	0	2025-10-27 12:07:19.572	1h 16m 43s	1h 16m 42s	1263.2%	12.5 GB	525 GB	3.5 GB	389.3 MB
409	5a/90e8cb	3536517	nifti_converter (91)	COMPLETED	0	2025-10-27 13:24:03.540	2.1s	1.5s	98.5%	72.8 MB	112 MB	7.6 MB	80 MB
410	e5/df67c4	3537033	roi_creator (91)	COMPLETED	0	2025-10-27 13:24:06.617	2m 47s	2m 46s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
11	e7/1ba196	2682496	fastsurfer (11)	COMPLETED	0	2025-10-27 12:08:48.182	1h 26m 52s	1h 26m 52s	1302.7%	12.5 GB	525 GB	3.5 GB	397.8 MB
411	ba/4e56d5	3667637	nifti_converter (92)	COMPLETED	0	2025-10-27 13:35:41.631	2.1s	1.5s	99.9%	73.5 MB	112 MB	7.4 MB	80 MB
412	86/043c91	3668232	roi_creator (92)	COMPLETED	0	2025-10-27 13:35:44.767	2m 48s	2m 48s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
86	17/1acbd4	2823904	fastsurfer (86)	COMPLETED	0	2025-10-27 12:17:34.484	1h 23m 42s	1h 23m 41s	1143.1%	12.5 GB	525 GB	3.7 GB	429.7 MB
413	b2/88b2f2	3759939	nifti_converter (93)	COMPLETED	0	2025-10-27 13:41:16.336	1.8s	1.2s	101.1%	73.5 MB	112 MB	7.6 MB	80 MB
414	f4/7bbbc1	3761289	roi_creator (93)	COMPLETED	0	2025-10-27 13:41:19.160	2m 27s	2m 26s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
61	7f/e51b21	2836067	fastsurfer (61)	COMPLETED	0	2025-10-27 12:18:08.643	1h 28m 41s	1h 28m 40s	1081.0%	12.7 GB	525.4 GB	3.7 GB	427.7 MB
415	24/31824c	3860059	nifti_converter (94)	COMPLETED	0	2025-10-27 13:46:50.751	1.6s	985ms	100.9%	13.5 MB	62.4 MB	7.3 MB	80 MB
416	8c/c9c3cf	3860705	roi_creator (94)	COMPLETED	0	2025-10-27 13:46:53.325	2m 31s	2m 31s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
85	6d/3bbad4	3094882	fastsurfer (85)	COMPLETED	0	2025-10-27 12:39:17.330	1h 17m 59s	1h 17m 59s	1037.0%	12.7 GB	525.4 GB	3.6 GB	404.9 MB
417	58/3c1899	4002404	nifti_converter (95)	COMPLETED	0	2025-10-27 13:57:17.594	1.5s	907ms	100.1%	12 MB	62.4 MB	7.5 MB	80 MB
45	0f/7bc85c	3193292	fastsurfer (45)	COMPLETED	0	2025-10-27 12:46:12.082	1h 12m 14s	1h 12m 13s	980.6%	12.7 GB	525.5 GB	3.9 GB	453.1 MB
419	9b/c72a3f	4051921	nifti_converter (96)	COMPLETED	0	2025-10-27 13:58:26.094	1.9s	1.3s	99.6%	73.5 MB	112 MB	7.3 MB	80 MB
418	23/250d24	4002846	roi_creator (95)	COMPLETED	0	2025-10-27 13:57:20.138	2m 47s	2m 46s	99.9%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
420	6c/7b03f1	4057793	roi_creator (96)	COMPLETED	0	2025-10-27 13:58:28.991	2m 36s	2m 35s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
97	70/b48843	3370961	fastsurfer (97)	COMPLETED	0	2025-10-27 13:06:45.392	1h 5m 54s	1h 5m 53s	892.2%	12.7 GB	525.5 GB	3.6 GB	419.3 MB
421	b6/15199a	42776	nifti_converter (97)	COMPLETED	0	2025-10-27 14:12:39.966	2.4s	1.7s	99.1%	72.8 MB	112 MB	7.6 MB	80 MB
422	ec/ae8e3e	43295	roi_creator (97)	COMPLETED	0	2025-10-27 14:12:43.382	2m 56s	2m 56s	99.8%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
98	65/9b315f	3535934	fastsurfer (98)	COMPLETED	0	2025-10-27 13:24:02.532	54m 36s	54m 35s	888.5%	12.7 GB	525.5 GB	3.6 GB	409.9 MB
423	4d/88cbd0	140512	nifti_converter (98)	COMPLETED	0	2025-10-27 14:18:39.104	1.6s	1.1s	99.5%	73.5 MB	112 MB	7.8 MB	80 MB
424	02/0b6ad2	141609	roi_creator (98)	COMPLETED	0	2025-10-27 14:18:41.759	2m 42s	2m 42s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
191	ef/615428	3667035	fastsurfer (191)	COMPLETED	0	2025-10-27 13:35:40.624	1h 4m 44s	1h 4m 43s	785.1%	13 GB	525.7 GB	3.9 GB	456 MB
425	fc/ee096c	338280	nifti_converter (99)	COMPLETED	0	2025-10-27 14:40:25.725	2.1s	1.5s	100.1%	73.5 MB	112 MB	7.4 MB	80 MB
