task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ca/4c7a79	629821	create_feat_all (1)	COMPLETED	0	2025-10-26 03:02:28.596	10.5s	9.9s	172.7%	148.2 MB	2.7 GB	104.5 MB	19.4 MB
2	24/57962b	639747	select_features (1)	COMPLETED	0	2025-10-26 03:02:39.125	4m 41s	4m 41s	102.0%	664.5 MB	3.3 GB	40.1 MB	1.8 MB
3	3b/1c27d3	820620	parallel_training (1)	COMPLETED	0	2025-10-26 03:07:20.666	3m 47s	3m 46s	102.0%	351.1 MB	3 GB	31.7 MB	3.6 KB
6	0f/9d10de	820634	parallel_training (4)	COMPLETED	0	2025-10-26 03:07:20.674	3m 48s	3m 47s	4229.9%	578.8 MB	51.7 GB	36.2 MB	63.1 KB
5	26/71ecab	820652	parallel_training (3)	COMPLETED	0	2025-10-26 03:07:20.682	22m 42s	22m 41s	100.3%	342.7 MB	2.9 GB	43.9 MB	3.5 KB
4	20/6a4d1e	820613	parallel_training (2)	COMPLETED	0	2025-10-26 03:07:20.658	42m 47s	42m 46s	100.3%	309 MB	2.9 GB	31.8 MB	4.3 KB
7	da/e55fbc	1994351	aggregate_metrics (1)	COMPLETED	0	2025-10-26 03:50:07.333	839ms	313ms	2470.4%	20.3 MB	2.5 GB	7.7 MB	14 KB
