task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	56/0b61a9	800868	create_feat_all (1)	COMPLETED	0	2025-10-25 23:12:17.312	8.7s	8.2s	198.7%	149.8 MB	2.7 GB	104.5 MB	33.3 MB
2	c5/7ceb26	802101	select_features (1)	COMPLETED	0	2025-10-25 23:12:26.051	2h 5m 7s	2h 5m 7s	100.1%	495.3 MB	3.1 GB	171 MB	771.8 KB
3	c4/4d72c4	2929569	parallel_training (1)	COMPLETED	0	2025-10-26 01:17:33.419	2m 44s	2m 43s	102.9%	342.5 MB	3 GB	30.6 MB	1.9 KB
6	c0/429eb5	2929566	parallel_training (4)	COMPLETED	0	2025-10-26 01:17:33.412	3m 47s	3m 46s	4204.6%	584.4 MB	51.8 GB	35.1 MB	60.8 KB
4	75/d946b4	2929582	parallel_training (2)	COMPLETED	0	2025-10-26 01:17:33.425	9m 16s	9m 15s	100.8%	329.4 MB	3 GB	30.7 MB	2 KB
5	bf/9c913f	2929595	parallel_training (3)	COMPLETED	0	2025-10-26 01:17:33.431	19m 10s	19m 10s	100.6%	341.7 MB	2.9 GB	42.8 MB	2.9 KB
7	63/bdcadf	3370562	aggregate_metrics (1)	COMPLETED	0	2025-10-26 01:36:43.880	816ms	288ms	2797.1%	20.3 MB	2.5 GB	7.7 MB	7.1 KB
